0	采荷一小是分校吧
1	毛坯吗？
2	你们的佣金费大约是多少和契税是多少。
3	靠近川沙路嘛？
4	这套房源价格还有优惠空间吗？
5	这个税多少钱
6	这套房源价格还有优惠空间么？
7	有房子可以带我看看吗？
8	光线不好，是吗
9	几期的？
10	什么情况呢？
11	这套房源价格还有优惠空间吗？
12	边户吗？
13	明天还得去看一下这套
14	看房方便吗
15	这个小区配套哪个小学和中学
16	首付多少
17	价格最低多少卖？
18	采光怎么样呢？
19	想看一下房子
20	这个房子价格能谈吗
21	我想看看碧桂园的房子。
22	房价还能谈吗？
23	这是一期吗
24	您好，我想看一下这房子
25	您好，请问这个户型有啥优缺点
26	临街吗
27	先看房子嘛
28	您好，请问这个房子周边有哪些学校
29	请问首付和贷款是多少？
30	你好 请问这个房源信息只有这些吗？
31	什么时候能够看房呢？
32	对了我还想看河东的一个房子
33	看房什么时候方便
34	什么时候能够看房呢？
35	你好，这个房子是要全款？
36	都不满吗？怎么交易
37	临街吗？
38	明天什么时候可以看看呢
39	您好，请问这个户型有啥优缺点
40	是实验学校吗
41	2020年5月买的1手？
42	什么时候能够看房呢？
43	能看吗
44	什么时候友谊医院能开张
45	这个价格还有的谈吗
46	北师大附中市重点中学吗
47	总的税费？
48	这是哪里的房子
49	学区划分在哪个小学
50	什么时候能够看房呢？
51	不挡光吧、
52	这个最低多少钱
53	2楼这套给256万能谈下来吗
54	都看看吧
55	那您帮我约一下，看看他们什么时候方便，谢谢
56	行，明天都看看
57	看房方便吗
58	临大路哈？
59	拎包入住？就是说家具这些房东不拿走？
60	什么时候能够看房呢？
61	我想了解一下这里的房子
62	上哪个小学呢
63	51看看哪天我约你吧
64	北一路哪？
65	那前面光线怎么样
66	这套房配套学区怎么样啊
67	靠马路吗
68	在小区的什么位置？
69	在哪
70	这个户型的西南是不是比东南好点采光
71	这套房源价格还有优惠空间么？
72	周边配套怎么样
73	在哪里呢
74	这个约看
75	多久满呢
76	您好，我正在看芍药居北里的房子
77	看看呢
78	最低多少钱啦
